n,p
1,1.0
2,0.0
3,1.0
4,0.0
5,0.0
6,0.0
7,0.1428571428571429
8,0.0
9,0.0
10,0.0
11,0.1818181818181818
12,0.1666666666666667
13,0.1538461538461538
14,0.1428571428571429
15,0.06666666666666667
16,0.125
17,0.0
18,0.0
19,0.0
20,0.05
21,0.04761904761904762
22,0.09090909090909091
23,0.04347826086956522
24,0.04166666666666667
25,0.16
26,0.07692307692307691
27,0.1481481481481481
28,0.03571428571428571
29,0.0
30,0.1
31,0.06451612903225806
32,0.09375
33,0.2121212121212121
34,0.1470588235294118
35,0.1428571428571429
36,0.1111111111111111
37,0.1621621621621622
38,0.05263157894736842
39,0.1025641025641026
40,0.075
41,0.1219512195121951
42,0.07142857142857142
43,0.06976744186046512
44,0.09090909090909091
45,0.08888888888888889
46,0.108695652173913
47,0.1276595744680851
48,0.1041666666666667
49,0.1020408163265306
50,0.1
51,0.05882352941176471
52,0.01923076923076923
53,0.1132075471698113
54,0.1111111111111111
55,0.1818181818181818
56,0.1607142857142857
57,0.1578947368421053
58,0.103448275862069
59,0.2372881355932203
60,0.06666666666666667
61,0.1311475409836066
62,0.1290322580645161
63,0.07936507936507937
64,0.09375
65,0.09230769230769231
66,0.1212121212121212
67,0.1492537313432836
68,0.08823529411764706
69,0.05797101449275362
70,0.1285714285714286
71,0.1549295774647887
72,0.05555555555555556
73,0.0958904109589041
74,0.1351351351351351
75,0.05333333333333333
76,0.1315789473684211
77,0.1688311688311688
78,0.07692307692307691
79,0.1772151898734177
80,0.1125
81,0.1358024691358025
82,0.06097560975609756
83,0.1566265060240964
84,0.1666666666666667
85,0.1411764705882353
86,0.09302325581395349
87,0.09195402298850575
88,0.1136363636363636
89,0.0898876404494382
90,0.1
91,0.0879120879120879
92,0.07608695652173914
93,0.07526881720430108
94,0.09574468085106383
95,0.0736842105263158
96,0.1041666666666667
97,0.08247422680412371
98,0.08163265306122448
99,0.1313131313131313
100,0.06
101,0.1188118811881188
102,0.09803921568627451
103,0.1067961165048544
104,0.09615384615384615
105,0.1238095238095238
106,0.1226415094339623
107,0.1775700934579439
108,0.1203703703703704
109,0.1192660550458716
110,0.1181818181818182
111,0.1171171171171171
112,0.125
113,0.1415929203539823
114,0.07894736842105263
115,0.1304347826086957
116,0.1379310344827586
117,0.1025641025641026
118,0.1016949152542373
119,0.1008403361344538
120,0.1333333333333333
121,0.09090909090909091
122,0.1229508196721311
123,0.1219512195121951
124,0.1209677419354839
125,0.136
126,0.1031746031746032
127,0.1181102362204724
128,0.1875
129,0.1317829457364341
130,0.1076923076923077
131,0.1450381679389313
132,0.1515151515151515
133,0.1203007518796992
134,0.1716417910447761
135,0.1333333333333333
136,0.1176470588235294
137,0.1021897810218978
138,0.1666666666666667
139,0.09352517985611511
140,0.1285714285714286
141,0.0921985815602837
142,0.1197183098591549
143,0.0979020979020979
144,0.1319444444444444
145,0.08275862068965517
146,0.0958904109589041
147,0.1020408163265306
148,0.09459459459459459
149,0.1140939597315436
150,0.07333333333333333
151,0.1324503311258278
152,0.09210526315789475
153,0.1111111111111111
154,0.1168831168831169
155,0.1419354838709677
156,0.1282051282051282
157,0.1273885350318471
158,0.1075949367088608
159,0.1257861635220126
160,0.0875
161,0.1304347826086957
162,0.117283950617284
163,0.09202453987730061
164,0.1524390243902439
165,0.09090909090909091
166,0.1325301204819277
167,0.09580838323353293
168,0.1011904761904762
169,0.1005917159763314
170,0.1235294117647059
171,0.1169590643274854
172,0.09302325581395349
173,0.08670520231213873
174,0.1206896551724138
175,0.09714285714285714
176,0.09659090909090909
177,0.1016949152542373
178,0.09550561797752809
179,0.1284916201117318
180,0.08333333333333333
181,0.1215469613259669
182,0.1373626373626374
183,0.1092896174863388
184,0.1141304347826087
185,0.1297297297297297
186,0.0967741935483871
187,0.1283422459893048
188,0.1117021276595745
189,0.1111111111111111
190,0.1105263157894737
191,0.09424083769633508
192,0.09375
193,0.09326424870466321
194,0.0979381443298969
