nth-trial,count,result
1,0,heads
1,0,tails
2,0,heads
2,1,tails
3,0,heads
3,1,tails
4,1,heads
4,1,tails
5,1,heads
5,1,tails
6,1,heads
6,1,tails
7,2,heads
7,1,tails
8,2,heads
8,2,tails
9,3,heads
9,2,tails
10,3,heads
10,3,tails
11,3,heads
11,4,tails
12,3,heads
12,4,tails
13,3,heads
13,4,tails
14,4,heads
14,4,tails
15,4,heads
15,4,tails
16,4,heads
16,4,tails
17,4,heads
17,4,tails
18,5,heads
18,4,tails
19,5,heads
19,4,tails
20,5,heads
20,4,tails
21,6,heads
21,4,tails
22,6,heads
22,5,tails
23,6,heads
23,5,tails
24,7,heads
24,5,tails
25,7,heads
25,6,tails
26,7,heads
26,7,tails
27,7,heads
27,8,tails
28,7,heads
28,8,tails
29,7,heads
29,9,tails
30,7,heads
30,9,tails
31,7,heads
31,10,tails
32,7,heads
32,10,tails
33,7,heads
33,10,tails
34,8,heads
34,10,tails
35,8,heads
35,10,tails
36,8,heads
36,11,tails
37,8,heads
37,12,tails
38,8,heads
38,13,tails
39,8,heads
39,13,tails
40,8,heads
40,13,tails
41,8,heads
41,13,tails
42,9,heads
42,13,tails
43,9,heads
43,14,tails
44,9,heads
44,15,tails
45,9,heads
45,15,tails
46,9,heads
46,15,tails
47,9,heads
47,16,tails
48,10,heads
48,16,tails
49,11,heads
49,16,tails
50,12,heads
50,16,tails
51,12,heads
51,16,tails
52,13,heads
52,16,tails
53,13,heads
53,17,tails
54,13,heads
54,17,tails
55,13,heads
55,17,tails
56,14,heads
56,17,tails
57,15,heads
57,17,tails
58,15,heads
58,17,tails
59,15,heads
59,18,tails
60,15,heads
60,18,tails
61,15,heads
61,19,tails
62,15,heads
62,19,tails
63,15,heads
63,19,tails
64,15,heads
64,20,tails
65,15,heads
65,20,tails
66,16,heads
66,20,tails
67,16,heads
67,21,tails
68,16,heads
68,22,tails
69,16,heads
69,22,tails
70,16,heads
70,22,tails
71,16,heads
71,23,tails
72,17,heads
72,23,tails
73,18,heads
73,23,tails
74,18,heads
74,23,tails
75,18,heads
75,23,tails
76,18,heads
76,23,tails
77,18,heads
77,24,tails
78,18,heads
78,24,tails
79,18,heads
79,25,tails
80,18,heads
80,25,tails
81,19,heads
81,25,tails
82,19,heads
82,25,tails
83,19,heads
83,25,tails
84,20,heads
84,25,tails
85,20,heads
85,25,tails
86,20,heads
86,25,tails
87,20,heads
87,26,tails
88,20,heads
88,27,tails
89,20,heads
89,27,tails
90,20,heads
90,27,tails
91,21,heads
91,27,tails
92,21,heads
92,28,tails
93,21,heads
93,28,tails
94,21,heads
94,28,tails
95,21,heads
95,29,tails
96,22,heads
96,29,tails
97,22,heads
97,29,tails
98,22,heads
98,29,tails
99,22,heads
99,29,tails
100,23,heads
100,29,tails
101,23,heads
101,30,tails
102,24,heads
102,30,tails
103,24,heads
103,30,tails
104,24,heads
104,30,tails
105,24,heads
105,31,tails
106,25,heads
106,31,tails
107,26,heads
107,31,tails
108,26,heads
108,31,tails
109,26,heads
109,31,tails
110,26,heads
110,32,tails
111,26,heads
111,32,tails
112,26,heads
112,32,tails
113,26,heads
113,32,tails
114,26,heads
114,32,tails
115,26,heads
115,33,tails
116,26,heads
116,33,tails
117,26,heads
117,33,tails
118,26,heads
118,34,tails
119,27,heads
119,34,tails
120,28,heads
120,34,tails
121,28,heads
121,35,tails
122,29,heads
122,35,tails
123,29,heads
123,36,tails
124,29,heads
124,36,tails
125,29,heads
125,36,tails
126,29,heads
126,37,tails
127,29,heads
127,37,tails
128,29,heads
128,37,tails
129,30,heads
129,37,tails
130,30,heads
130,38,tails
131,30,heads
131,38,tails
132,30,heads
132,38,tails
133,31,heads
133,38,tails
134,31,heads
134,38,tails
135,31,heads
135,39,tails
136,31,heads
136,39,tails
137,31,heads
137,40,tails
138,32,heads
138,40,tails
139,32,heads
139,40,tails
140,32,heads
140,40,tails
141,33,heads
141,40,tails
142,34,heads
142,40,tails
143,34,heads
143,41,tails
144,34,heads
144,41,tails
145,34,heads
145,41,tails
146,34,heads
146,41,tails
147,34,heads
147,41,tails
148,34,heads
148,41,tails
149,34,heads
149,42,tails
150,34,heads
150,42,tails
151,34,heads
151,42,tails
152,34,heads
152,42,tails
153,35,heads
153,42,tails
154,36,heads
154,42,tails
155,36,heads
155,43,tails
156,36,heads
156,43,tails
157,36,heads
157,43,tails
158,36,heads
158,44,tails
159,37,heads
159,44,tails
160,37,heads
160,44,tails
161,37,heads
161,44,tails
162,37,heads
162,44,tails
163,37,heads
163,45,tails
164,37,heads
164,45,tails
165,37,heads
165,46,tails
166,38,heads
166,46,tails
167,38,heads
167,46,tails
168,38,heads
168,46,tails
169,39,heads
169,46,tails
170,39,heads
170,46,tails
171,39,heads
171,46,tails
172,40,heads
172,46,tails
173,40,heads
173,47,tails
174,40,heads
174,47,tails
175,40,heads
175,47,tails
176,40,heads
176,47,tails
177,41,heads
177,47,tails
178,41,heads
178,48,tails
179,41,heads
179,48,tails
180,41,heads
180,48,tails
181,41,heads
181,48,tails
182,41,heads
182,48,tails
183,41,heads
183,49,tails
184,41,heads
184,50,tails
185,41,heads
185,51,tails
186,41,heads
186,52,tails
187,42,heads
187,52,tails
188,42,heads
188,52,tails
189,42,heads
189,52,tails
190,42,heads
190,52,tails
191,43,heads
191,52,tails
192,44,heads
192,52,tails
193,44,heads
193,53,tails
194,45,heads
194,53,tails
195,46,heads
195,53,tails
196,46,heads
196,53,tails
197,46,heads
197,54,tails
198,46,heads
198,55,tails
199,46,heads
199,56,tails
200,46,heads
200,56,tails
201,46,heads
201,57,tails
202,47,heads
202,57,tails
203,47,heads
203,57,tails
204,47,heads
204,57,tails
205,48,heads
205,57,tails
206,49,heads
206,57,tails
207,49,heads
207,57,tails
208,49,heads
208,58,tails
209,49,heads
209,58,tails
210,49,heads
210,58,tails
211,49,heads
211,58,tails
212,50,heads
212,58,tails
213,50,heads
213,59,tails
214,50,heads
214,59,tails
215,50,heads
215,59,tails
216,51,heads
216,59,tails
217,52,heads
217,59,tails
218,52,heads
218,60,tails
219,52,heads
219,61,tails
220,52,heads
220,61,tails
221,53,heads
221,61,tails
222,54,heads
222,61,tails
223,54,heads
223,62,tails
224,54,heads
224,63,tails
225,55,heads
225,63,tails
226,55,heads
226,63,tails
227,55,heads
227,63,tails
228,56,heads
228,63,tails
229,56,heads
229,63,tails
230,56,heads
230,64,tails
231,56,heads
231,65,tails
232,56,heads
232,66,tails
233,56,heads
233,67,tails
234,56,heads
234,67,tails
235,56,heads
235,68,tails
236,56,heads
236,69,tails
237,57,heads
237,69,tails
238,57,heads
238,69,tails
239,57,heads
239,69,tails
240,58,heads
240,69,tails
241,59,heads
241,69,tails
242,59,heads
242,70,tails
243,59,heads
243,71,tails
244,59,heads
244,72,tails
245,59,heads
245,72,tails
246,60,heads
246,72,tails
247,61,heads
247,72,tails
248,61,heads
248,72,tails
249,62,heads
249,72,tails
250,63,heads
250,72,tails
251,63,heads
251,73,tails
252,63,heads
252,73,tails
253,64,heads
253,73,tails
254,64,heads
254,73,tails
255,64,heads
255,74,tails
256,64,heads
256,74,tails
257,65,heads
257,74,tails
258,66,heads
258,74,tails
259,66,heads
259,74,tails
260,66,heads
260,74,tails
261,66,heads
261,74,tails
262,66,heads
262,75,tails
263,67,heads
263,75,tails
264,67,heads
264,75,tails
265,67,heads
265,75,tails
266,67,heads
266,75,tails
267,68,heads
267,75,tails
268,68,heads
268,76,tails
269,68,heads
269,76,tails
270,69,heads
270,76,tails
271,69,heads
271,77,tails
272,69,heads
272,78,tails
273,69,heads
273,79,tails
274,69,heads
274,80,tails
275,69,heads
275,80,tails
276,69,heads
276,81,tails
277,69,heads
277,82,tails
278,70,heads
278,82,tails
279,70,heads
279,82,tails
280,70,heads
280,82,tails
281,71,heads
281,82,tails
282,71,heads
282,82,tails
283,71,heads
283,82,tails
284,72,heads
284,82,tails
285,72,heads
285,82,tails
286,73,heads
286,82,tails
287,73,heads
287,82,tails
288,73,heads
288,82,tails
289,73,heads
289,82,tails
290,73,heads
290,82,tails
291,73,heads
291,82,tails
292,73,heads
292,83,tails
293,73,heads
293,83,tails
294,73,heads
294,83,tails
295,73,heads
295,84,tails
296,73,heads
296,85,tails
297,73,heads
297,85,tails
298,73,heads
298,85,tails
299,73,heads
299,86,tails
300,73,heads
300,86,tails
301,73,heads
301,87,tails
302,74,heads
302,87,tails
303,75,heads
303,87,tails
304,76,heads
304,87,tails
305,76,heads
305,88,tails
306,76,heads
306,89,tails
307,76,heads
307,89,tails
308,76,heads
308,90,tails
309,76,heads
309,90,tails
310,76,heads
310,91,tails
311,76,heads
311,91,tails
312,77,heads
312,91,tails
313,77,heads
313,91,tails
314,77,heads
314,91,tails
315,77,heads
315,91,tails
316,77,heads
316,91,tails
317,78,heads
317,91,tails
318,78,heads
318,92,tails
319,78,heads
319,93,tails
320,78,heads
320,93,tails
321,78,heads
321,93,tails
322,79,heads
322,93,tails
323,80,heads
323,93,tails
324,80,heads
324,93,tails
325,81,heads
325,93,tails
326,82,heads
326,93,tails
327,83,heads
327,93,tails
328,83,heads
328,94,tails
329,84,heads
329,94,tails
330,84,heads
330,94,tails
331,84,heads
331,94,tails
332,85,heads
332,94,tails
333,85,heads
333,94,tails
334,85,heads
334,94,tails
335,85,heads
335,95,tails
336,85,heads
336,96,tails
337,86,heads
337,96,tails
338,86,heads
338,97,tails
339,86,heads
339,97,tails
340,86,heads
340,97,tails
341,86,heads
341,97,tails
342,86,heads
342,97,tails
343,86,heads
343,97,tails
344,86,heads
344,97,tails
345,86,heads
345,97,tails
346,87,heads
346,97,tails
347,87,heads
347,98,tails
348,87,heads
348,98,tails
349,87,heads
349,99,tails
350,87,heads
350,99,tails
351,87,heads
351,100,tails
352,87,heads
352,101,tails
353,87,heads
353,101,tails
354,87,heads
354,101,tails
355,87,heads
355,101,tails
356,88,heads
356,101,tails
357,89,heads
357,101,tails
358,90,heads
358,101,tails
359,91,heads
359,101,tails
360,91,heads
360,101,tails
361,92,heads
361,101,tails
362,93,heads
362,101,tails
363,94,heads
363,101,tails
364,95,heads
364,101,tails
365,95,heads
365,101,tails
366,95,heads
366,102,tails
367,95,heads
367,103,tails
368,96,heads
368,103,tails
369,96,heads
369,103,tails
370,96,heads
370,103,tails
371,96,heads
371,103,tails
372,96,heads
372,103,tails
373,96,heads
373,104,tails
374,96,heads
374,104,tails
375,96,heads
375,104,tails
376,96,heads
376,104,tails
377,96,heads
377,105,tails
378,96,heads
378,105,tails
379,96,heads
379,105,tails
380,96,heads
380,105,tails
381,96,heads
381,105,tails
382,96,heads
382,106,tails
383,96,heads
383,106,tails
384,97,heads
384,106,tails
385,97,heads
385,106,tails
386,98,heads
386,106,tails
387,98,heads
387,106,tails
388,98,heads
388,106,tails
389,98,heads
389,106,tails
390,98,heads
390,107,tails
391,98,heads
391,108,tails
392,99,heads
392,108,tails
393,99,heads
393,108,tails
394,99,heads
394,109,tails
395,100,heads
395,109,tails
396,100,heads
396,109,tails
397,101,heads
397,109,tails
398,101,heads
398,109,tails
399,101,heads
399,109,tails
400,101,heads
400,109,tails
401,101,heads
401,109,tails
402,101,heads
402,110,tails
403,101,heads
403,110,tails
404,101,heads
404,110,tails
405,101,heads
405,110,tails
406,101,heads
406,111,tails
407,102,heads
407,111,tails
408,102,heads
408,111,tails
409,102,heads
409,112,tails
410,102,heads
410,112,tails
411,102,heads
411,112,tails
412,102,heads
412,112,tails
413,102,heads
413,112,tails
414,103,heads
414,112,tails
415,104,heads
415,112,tails
416,104,heads
416,113,tails
417,104,heads
417,114,tails
418,104,heads
418,115,tails
419,105,heads
419,115,tails
420,105,heads
420,116,tails
421,105,heads
421,116,tails
422,105,heads
422,116,tails
423,105,heads
423,116,tails
424,105,heads
424,117,tails
425,105,heads
425,117,tails
426,105,heads
426,118,tails
427,106,heads
427,118,tails
428,107,heads
428,118,tails
429,107,heads
429,118,tails
430,107,heads
430,118,tails
431,108,heads
431,118,tails
432,108,heads
432,119,tails
433,108,heads
433,119,tails
434,108,heads
