x,y
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
9,0
7,6
